Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_000772105.1	ASM77210v1	Vibrio tubiashii ATCC 19109		19109					GCF_000772105.1-RS_2024_12_11	Complete Genome	2014-11-05		6
GCF_001277235.1	ASM127723v1	Cronobacter dublinensis subsp. dublinensis LMG 23823		LMG 23823					GCF_001277235.1-RS_2024_12_16	Complete Genome	2015-09-01		2
GCF_000264765.2	ASM26476v2	Edwardsiella anguillarum ET080813		80813					GCF_000264765.2-RS_2024_03_28	Complete Genome	2014-08-12		3
GCF_012427845.1	ASM1242784v1	Pectobacterium punjabense		SS95					GCF_012427845.1-RS_2024_03_29	Complete Genome	2020-04-16		1
GCF_020097295.1	ASM2009729v1	Aeromonas enteropelogenes		FDAARGOS_1510					GCF_020097295.1-RS_2024_12_11	Complete Genome	2021-09-23		1
GCF_001720485.1	ASM172048v1	Cobetia marina		JCM 21022					GCF_001720485.1-RS_2024_10_22	Complete Genome	2016-09-07		1
GCF_016028635.1	ASM1602863v1	Stutzerimonas degradans		FDAARGOS_876					GCF_016028635.1-RS_2024_08_13	Complete Genome	2020-12-14		1
GCF_018343775.1	ASM1834377v1	Pseudomonas cichorii		DSM 50259					GCF_018343775.1-RS_2024_11_19	Complete Genome	2021-05-12		1
GCF_037935975.1	ASM3793597v1	Teredinibacter turnerae		T7902					GCF_037935975.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_000164865.1	ASM16486v1	[Enterobacter] lignolyticus SCF1		SCF1					GCF_000164865.1-RS_2024_03_28	Complete Genome	2010-10-15		1
GCF_023920225.1	ASM2392022v1	Vibrio gazogenes		PB1					GCF_023920225.1-RS_2024_07_04	Complete Genome	2022-06-27		2
GCF_001742185.1	ASM174218v1	Pectobacterium wasabiae CFBP 3304		CFBP 3304					GCF_001742185.1-RS_2024_12_09	Complete Genome	2016-09-22		1
GCF_000284615.1	ASM28461v1	Marinobacter nauticus ATCC 49840		ATCC 49840					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-03-27		1
GCF_002310855.1	ASM231085v1	Pseudoalteromonas agarivorans DSM 14585		DSM 14585					GCF_002310855.1-RS_2024_08_23	Complete Genome	2017-09-18		2
GCF_000008465.1	ASM846v1	Idiomarina loihiensis L2TR		L2TR					GCF_000008465.1-RS_2024_03_20	Complete Genome	2004-12-02		1
GCF_012767755.2	ASM1276775v2	Pseudomonas tohonis		TUM18999					GCF_012767755.2-RS_2024_03_27	Complete Genome	2020-06-01		1
GCF_001658025.2	ASM165802v2	Kosakonia oryzae		Ola 51					GCF_001658025.2-RS_2024_12_09	Complete Genome	2021-03-11		1
GCF_021462285.1	ASM2146228v1	Serratia entomophila		A1					GCF_021462285.1-RS_2024_10_11	Complete Genome	2022-01-13		2
GCF_019977755.1	ASM1997775v1	Vibrio penaeicida		IFO 15640T					GCF_019977755.1-RS_2024_11_06	Complete Genome	2021-09-09		3
GCF_000599985.1	ASM59998v1	Gilliamella apicola		wkB1					GCF_000599985.1-RS_2024_12_16	Complete Genome	2014-03-25		1
GCF_000014885.1	ASM1488v1	Shewanella piezotolerans WP3		WP3					GCF_000014885.1-RS_2024_03_28	Complete Genome	2008-11-13		1
GCF_019048065.1	ASM1904806v1	Citrobacter farmeri		FDAARGOS 1423					GCF_019048065.1-RS_2024_03_30	Complete Genome	2021-06-28		2
GCF_019669905.1	ASM1966990v1	Methylomonas koyamae		Fw12E-Y					GCF_019669905.1-RS_2024_04_28	Complete Genome	2021-06-02		2
GCF_000968535.2	ASM96853v1	Methylotuvimicrobium alcaliphilum 20Z		20Z					GCF_000968535.2-RS_2024_12_13	Complete Genome	2011-10-14		2
GCF_001562195.1	ASM156219v1	Alteromonas stellipolaris		R10SW13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-02-17		1
GCF_000016065.1	ASM1606v1	Shewanella loihica PV-4		PV-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-03-07		1
GCF_024347415.1	ASM2434741v1	Vibrio crassostreae		LMG 22240					GCF_024347415.1-RS_2024_10_12	Complete Genome	2022-07-13		4
GCF_038452265.1	ASM3845226v1	Vibrio diazotrophicus		ATCC 33466					GCF_038452265.1-RS_2024_04_25	Complete Genome	2024-04-26		2
GCF_024347635.1	ASM2434763v1	Vibrio tasmaniensis		LMG 20012					GCF_024347635.1-RS_2024_10_11	Complete Genome	2022-07-13		4
GCF_013377235.1	ASM1337723v1	Mannheimia varigena		177					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-30		1
GCF_041222865.1	ASM4122286v1	Cronobacter turicensis		LMG23827					GCF_041222865.1-RS_2024_08_13	Complete Genome	2024-08-14		3
GCF_001444405.1	ASM144440v1	Pseudoalteromonas phenolica		KCTC 12086					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-11-17		2
GCF_000009365.1	ASM936v1	Alcanivorax borkumensis SK2		SK2					GCF_000009365.1-RS_2024_12_13	Complete Genome	2006-07-24		1
GCF_000300005.1	ASM30000v1	Alloalcanivorax dieselolei B5		B5					GCF_000300005.1-RS_2024_12_11	Complete Genome	2012-09-28		1
GCF_001887595.1	ASM188759v1	Luteibacter rhizovicinus DSM 16549		LJ96					GCF_001887595.1-RS_2024_05_05	Complete Genome	2016-11-30		1
GCF_000355675.1	ASM35567v1	Thalassolituus oleivorans MIL-1		MIL-1					GCF_000355675.1-RS_2024_03_28	Complete Genome	2013-03-14		1
GCF_000739435.1	ASM73943v1	Actinobacillus suis ATCC 33415		ATCC 33415					GCF_000739435.1-RS_2024_04_07	Complete Genome	2014-08-14		1
GCF_001661075.1	ASM166107v1	Pseudomonas silesiensis		A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-06-10		1
GCF_014268495.2	ASM1426849v2	Pseudomonas monsensis		PGSB 8459					GCF_014268495.2-RS_2024_07_22	Complete Genome	2021-07-06		2
GCF_001594225.2	ASM159422v2	Pseudomonas glycinae		MS586					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-21		1
GCF_003352185.1	ASM335218v1	Pseudomonas kribbensis		46-2					GCF_003352185.1-RS_2024_04_22	Complete Genome	2018-08-01		1
GCF_002355475.1	ASM235547v1	Metapseudomonas furukawaii		KF707					GCF_002355475.1-RS_2024_10_22	Complete Genome	2016-04-05		2
GCF_008807375.1	ASM880737v1	Metapseudomonas lalkuanensis		PE08					GCF_008807375.1-RS_2024_10_23	Complete Genome	2019-10-03		1
GCF_002291445.1	ASM229144v1	Brenneria goodwinii		FRB141					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-12		1
GCF_037948395.1	ASM3794839v1	Serratia nevei		LMG 31536					GCF_037948395.1-RS_2024_08_27	Complete Genome	2024-04-06		2
GCF_021495345.1	ASM2149534v2	Ectopseudomonas hydrolytica		DSWY01					GCF_021495345.1-RS_2024_07_04	Complete Genome	2022-06-27		1
GCF_006711645.1	ASM671164v1	Klebsiella electrica		DSM 102253					GCF_006711645.1-RS_2024_12_02	Complete Genome	2019-07-08		6
GCF_000463345.2	ASM46334v3	Prodigiosinella confusarubida		ATCC 39006					GCF_000463345.2-RS_2024_05_12	Complete Genome	2018-01-04		1
GCF_019047765.1	ASM1904776v1	Citrobacter pasteurii		FDAARGOS 1424					GCF_019047765.1-RS_2024_05_06	Complete Genome	2021-06-28		3
GCF_020181655.1	ASM2018165v1	Pectobacterium colocasium		LJ1					GCF_020181655.1-RS_2024_05_31	Complete Genome	2021-09-30		1
GCF_900635955.1	36672_A01	Cedecea lapagei		NCTC11466					GCF_900635955.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_002101395.1	ASM210139v1	Pantoea alhagi		LTYR-11Z					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-20		2
GCF_021165935.1	ASM2116593v1	Microbulbifer elongatus		DSM 6810					GCF_021165935.1-RS_2024_12_09	Complete Genome	2021-12-12		1
GCF_022647325.1	ASM2264732v1	Pantoea deleyi		LMG24200					GCF_022647325.1-RS_2024_04_06	Complete Genome	2022-03-21		4
GCF_012427705.1	ASM1242770v1	Vreelandella piezotolerans		NBT06E8					GCF_012427705.1-RS_2024_04_07	Complete Genome	2020-04-16		1
GCF_002906655.1	ASM290665v1	Vibrio hyugaensis		090810a					GCF_002906655.1-RS_2024_04_22	Complete Genome	2018-01-17		2
GCF_024347475.1	ASM2434747v1	Vibrio fortis		LMG 21557					GCF_024347475.1-RS_2024_10_11	Complete Genome	2022-07-13		3
GCF_013177435.1	ASM1317743v1	Xylella taiwanensis		PLS229					GCF_013177435.1-RS_2024_05_06	Complete Genome	2020-05-27		1
GCF_000807275.1	ASM80727v1	Frischella perrara		PEB0191					GCF_000807275.1-RS_2024_03_12	Complete Genome	2014-12-23		1
GCF_042926695.1	ACM3666	Lonepinella koalarum		ACM3666					GCF_042926695.1-RS_2024_10_11	Complete Genome	2024-10-15		1
GCF_009769165.1	ASM976916v1	Xanthomonas hyacinthi		CFBP 1156					GCF_009769165.1-RS_2024_05_06	Complete Genome	2019-12-19		2
GCF_008931805.1	ASM893180v1	Moritella marina ATCC 15381		MP-1					GCF_008931805.1-RS_2024_04_27	Complete Genome	2019-10-09		2
GCF_900475855.1	46338_B02	Providencia heimbachae		NCTC12003					GCF_900475855.1-RS_2024_12_02	Complete Genome	2018-06-17		1
GCF_000968195.1	ASM96819v1	Xenorhabdus doucetiae		FRM16					GCF_000968195.1-RS_2024_12_11	Complete Genome	2014-06-30		2
GCF_009646115.1	ASM964611v1	Pantoea eucalypti		LMG 24197					GCF_009646115.1-RS_2024_03_22	Complete Genome	2019-11-09		4
GCF_024347535.1	ASM2434753v1	Vibrio kanaloae		LMG 20539					GCF_024347535.1-RS_2024_10_11	Complete Genome	2022-07-13		2
GCF_013340845.1	ASM1334084v1	Hydrogenovibrio marinus		MH-110					GCF_013340845.1-RS_2024_12_13	Complete Genome	2020-06-05		1
GCF_000192865.1	ASM19286v1	Marinomonas mediterranea MMB-1		MMB-1					GCF_000192865.1-RS_2024_11_06	Complete Genome	2011-03-22		1
GCF_001277175.1	ASM127717v1	Cronobacter universalis NCTC 9529		NCTC 9529					GCF_001277175.1-RS_2024_12_09	Complete Genome	2015-09-01		2
GCF_016026395.1	ASM1602639v1	Edwardsiella hoshinae		FDAARGOS_940					GCF_016026395.1-RS_2024_12_13	Complete Genome	2020-12-14		2
GCF_000025485.1	ASM2548v1	Allochromatium vinosum DSM 180		DSM 180					GCF_000025485.1-RS_2024_12_09	Complete Genome	2010-02-16		3
GCF_016889385.1	ASM1688938v1	Haemophilus parahaemolyticus		FDAARGOS_1199					GCF_016889385.1-RS_2024_03_13	Complete Genome	2021-02-15		2
GCF_001908725.1	ASM190872v1	Xanthomonas vesicatoria ATCC 35937		LMG911					GCF_001908725.1-RS_2024_05_05	Complete Genome	2016-12-19		3
GCF_001277195.1	ASM127719v1	Cronobacter muytjensii ATCC 51329		ATCC 51329					GCF_001277195.1-RS_2024_12_09	Complete Genome	2015-09-01		1
GCF_000238395.3	ASM23839v4	Pseudoalteromonas arctica A 37-1-2		A 37-1-2					GCF_000238395.3-RS_2024_09_03	Complete Genome	2017-09-18		3
GCF_024296925.1	ASM2429692v1	Pseudomonas nunensis		In5					GCF_024296925.1-RS_2024_03_28	Complete Genome	2022-07-17		1
GCF_004786035.1	ASM478603v1	Pseudomonas viciae		11K1					GCF_004786035.1-RS_2024_03_28	Complete Genome	2019-04-12		2
GCF_014268695.2	ASM1426869v2	Pseudomonas ogarae		SWRI108					GCF_014268695.2-RS_2024_07_21	Complete Genome	2021-07-06		1
GCF_002162375.1	ASM216237v1	Oleiphilus messinensis		ME102					GCF_002162375.1-RS_2024_12_13	Complete Genome	2017-05-31		1
GCF_003261575.2	ASM326157v2	Klebsiella huaxiensis		WCHKl090001					GCF_003261575.2-RS_2024_12_09	Complete Genome	2019-02-25		2
GCF_003584645.1	ASM358464v1	Methylocaldum marinum		S8					GCF_003584645.1-RS_2024_12_13	Complete Genome	2017-09-08		1
GCF_014268455.2	ASM1426845v2	Pseudomonas shahriarae		SWRI52					GCF_014268455.2-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_002291425.1	ASM229142v1	Gibbsiella quercinecans		FRB97					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-12		1
GCF_004358345.1	ASM435834v1	Parashewanella spongiae		HJ039					GCF_004358345.1-RS_2024_04_27	Complete Genome	2019-03-20		1
GCF_033954835.1	ASM3395483v1	Thiorhodovibrio frisius		970					GCF_033954835.1-RS_2024_12_09	Complete Genome	2023-11-27		1
GCF_001010285.1	ASM101028v1	Photorhabdus thracensis		DSM 15199					GCF_001010285.1-RS_2024_03_27	Complete Genome	2015-05-19		1
GCF_040529055.1	ASM4052905v1	Xanthomonas sontii		PPL1					GCF_040529055.1-RS_2024_12_11	Complete Genome	2024-07-07		1
GCF_002075795.1	ASM207579v1	Shewanella japonica		KCTC 22435					GCF_002075795.1-RS_2024_03_28	Complete Genome	2017-03-31		1
GCF_034479615.1	ASM3447961v1	Vreelandella neptunia		ATCC BAA-805					GCF_034479615.1-RS_2024_04_07	Complete Genome	2023-12-19		1
GCF_014236795.1	ASM1423679v1	Xanthomonas theicola		CFBP 4691					GCF_014236795.1-RS_2024_05_05	Complete Genome	2020-08-18		2
GCF_019670005.1	ASM1967000v1	Methylomagnum ishizawai		RS11D-Pr					GCF_019670005.1-RS_2024_05_06	Complete Genome	2021-06-02		8
GCF_900637545.1	51438_G01	Aeromonas encheleia		NCTC12917					GCF_900637545.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_009176645.1	ASM917664v1	Enterobacter oligotrophicus		CCA6					GCF_009176645.1-RS_2024_03_28	Complete Genome	2019-03-18		1
GCF_021029445.1	ASM2102944v1	Pseudomonas wenzhouensis		A20					GCF_021029445.1-RS_2024_03_28	Complete Genome	2021-12-03		1
GCF_020991125.1	ASM2099112v1	Microbulbifer celer		KCTC 12973					GCF_020991125.1-RS_2024_12_11	Complete Genome	2021-11-28		1
GCF_000730385.1	ASM73038v1	Alteromonas australica		H 17					GCF_000730385.1-RS_2024_12_13	Complete Genome	2014-07-17		1
GCF_009756665.1	ASM975666v1	Permianibacter aggregans		HW001					GCF_009756665.1-RS_2024_12_13	Complete Genome	2019-12-16		1
GCF_026427595.1	ASM2642759v1	Alkalimarinus sediminis		FA028					GCF_026427595.1-RS_2024_03_28	Complete Genome	2022-11-28		1
GCF_009931115.1	ASM993111v1	Microbulbifer hydrolyticus		IRE-31					GCF_009931115.1-RS_2024_03_17	Complete Genome	2020-01-27		1
GCF_033723955.1	ASM3372395v1	Microbulbifer pacificus		SPO729					GCF_033723955.1-RS_2024_11_18	Complete Genome	2023-11-15		1
GCF_011399095.1	ASM1139909v1	Halomonas hydrothermalis		Slthf2					GCF_011399095.1-RS_2024_12_13	Complete Genome	2020-03-10		1
GCF_036885195.1	ASM3688519v1	Pectobacterium cacticida		CFBP3628					GCF_036885195.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_001187785.1	ASM118778v1	Wenzhouxiangella marina		KCTC 42284					GCF_001187785.1-RS_2024_05_02	Complete Genome	2015-07-28		1
GCF_002157205.1	ASM215720v1	Kushneria marisflavi		SW32					GCF_002157205.1-RS_2024_12_09	Complete Genome	2017-05-24		1
GCF_034479555.1	ASM3447955v1	Chromohalobacter canadensis		ATCC 43984					GCF_034479555.1-RS_2024_12_09	Complete Genome	2023-12-19		1
GCF_030406665.1	ASM3040666v1	Halomonas halophila		CCM 3662					GCF_030406665.1-RS_2024_12_09	Complete Genome	2023-07-05		1
